year,Week,ASST_T,BURG_T,DRUG_T,HOMD_T,ROBB_T,THEF_T,WCCR_T,ASST_NT,BURG_NT,DRUG_NT,HOMD_NT,ROBB_NT,THEF_NT,WCCR_NT,id
2019,49,60,63,23,1,32,263,23,120,131,25,0,61,494,31,2019.91623076923
2019,50,67,68,15,0,43,280,11,115,129,26,0,47,532,26,2019.93546153846
2019,51,78,79,15,1,56,254,21,109,142,29,1,58,531,27,2019.95469230769
2019,52,88,66,20,2,54,296,20,137,149,38,1,80,563,23,2019.97392307692
2020,1,79,97,20,0,62,269,20,154,137,26,1,61,456,31,2019.99315384615
2020,2,55,64,23,1,34,260,19,102,105,36,4,57,485,22,2020.01238461538
2020,3,62,63,23,0,56,262,16,106,133,37,2,33,452,32,2020.03161538462
2020,4,49,64,31,1,50,241,18,104,126,32,0,51,501,41,2020.05084615385
2020,5,84,78,39,0,38,245,24,124,143,42,1,59,498,34,2020.07007692308
2020,6,61,48,32,0,27,242,19,113,100,33,0,66,474,35,2020.08930769231
2020,7,60,61,41,0,45,259,14,105,112,29,1,51,455,31,2020.10853846154
2020,8,68,57,43,0,34,258,11,120,118,41,1,50,465,23,2020.12776923077
2020,9,67,46,42,1,25,195,20,102,117,40,0,33,469,38,2020.147
2020,10,85,65,34,2,49,244,28,95,108,47,0,45,415,44,2020.16623076923
2020,11,72,57,23,2,24,230,17,147,107,38,0,38,406,25,2020.18546153846
2020,12,83,67,32,0,37,222,8,101,104,56,0,53,407,22,2020.20469230769
2020,13,64,69,26,0,22,199,18,89,78,69,0,24,366,24,2020.22392307692
2020,14,77,57,41,2,22,205,17,112,98,58,1,32,412,33,2020.24315384615
2020,15,81,56,40,0,20,222,10,114,92,64,0,38,407,18,2020.26238461538
2020,16,79,50,31,0,15,232,7,117,87,58,0,29,424,16,2020.28161538462
2020,17,91,36,31,1,29,229,14,118,91,67,1,43,418,21,2020.30084615385
2020,18,99,33,39,1,34,259,23,137,89,36,1,22,407,36,2020.32007692308
2020,19,89,42,37,1,32,210,12,122,98,56,0,42,439,25,2020.33930769231
2020,20,74,55,45,0,22,216,12,158,80,54,2,22,466,24,2020.35853846154
2020,21,92,47,32,0,19,228,12,138,79,31,2,23,412,18,2020.37776923077
2020,22,83,77,20,0,31,271,9,127,111,22,2,30,454,25,2020.397
2020,23,109,59,15,1,29,257,16,150,79,19,2,47,456,22,2020.41623076923
2020,24,113,48,17,0,15,261,12,139,106,13,1,41,464,18,2020.43546153846
2020,25,111,60,21,1,30,299,18,136,96,19,5,49,462,21,2020.45469230769
2020,26,91,53,14,0,22,239,10,154,96,32,1,41,504,27,2020.47392307692
2020,27,131,56,22,0,36,274,14,191,103,26,2,42,451,36,2020.49315384615
2020,28,97,41,21,2,35,276,8,127,86,46,3,49,474,23,2020.51238461538
2020,29,80,52,22,0,25,260,15,147,83,31,1,37,486,30,2020.53161538462
2020,30,112,68,49,1,33,245,15,140,98,52,2,50,437,23,2020.55084615385
2020,31,113,57,54,3,17,217,8,154,90,86,1,38,499,17,2020.57007692308
2020,32,84,51,53,2,42,256,9,130,82,94,0,40,490,28,2020.58930769231
2020,33,97,56,56,1,28,220,23,116,87,100,2,46,482,28,2020.60853846154
2020,34,107,42,67,2,22,236,9,168,112,111,0,30,529,32,2020.62776923077
2020,35,70,58,49,0,22,294,14,133,100,100,0,27,506,22,2020.647
2020,36,99,42,63,2,23,249,8,144,86,133,3,48,498,28,2020.66623076923
2020,37,97,63,53,0,36,233,10,135,74,109,1,32,535,26,2020.68546153846
2020,38,112,74,42,1,29,272,18,160,86,106,0,38,490,21,2020.70469230769
2020,39,89,76,44,1,26,286,9,121,87,82,2,35,540,20,2020.72392307692
2020,40,91,71,71,1,27,274,15,127,100,83,1,37,571,27,2020.74315384615
2020,41,107,45,53,4,41,248,12,159,105,99,2,39,529,18,2020.76238461538
2020,42,92,56,72,1,22,263,15,152,92,81,0,53,541,25,2020.78161538462
2020,43,99,78,48,0,21,262,10,122,100,90,4,61,546,17,2020.80084615385
2020,44,97,68,70,1,44,231,14,122,95,85,2,40,443,28,2020.82007692308
2020,45,101,59,48,0,47,276,17,131,94,97,3,36,486,22,2020.83930769231
